Official name by GR VZW,Filename,OSM relation ID
E2 | Verbinding GR 5A – GR 565 | Kruibeke – Deurne,routeyou-e2verbinding.gpx,13638
GR 12 Amsterdam – Parijs – Hoofdtraject,routeyou-gr12a-damparijs-vl.gpx,13632
GR 12 Amsterdam – Parijs – Variant West,routeyou-gr12-variantwest.gpx,6296002
GR 12 Amsterdam – Parijs – Variant Kleetbos,routeyou-gr-12-variant-kleetbos.gpx,112820
GR 122 Scheldeland,routeyou-gr-122-scheldeland.gpx,166227
GR 126 Brussegem – Mariekerke,routeyou-gr126.gpx,107242
GR 128 Vlaanderenroute – Hoofdtraject,routeyou-gr128.gpx,2067765
GR 128 Vlaanderenroute – Aanlooproute Schoonaarde,routeyou-gr128naarschoonaarde.gpx,11558558
GR 128 Vlaanderenroute – Duits deeltraject: Teuven-Aken,routeyou-gr128teuvenaken.gpx,11659292
GR 128 Vlaanderenroute – Frans deeltraject: Bailleul-Kemmel,routeyou-gr128bailleulkemmel.gpx,11659239
GR 128 Vlaanderenroute – Variant Gent-Destelbergen,routeyou-gr128vargent.gpx,11558750
GR 128 Vlaanderenroute – Variant Leuven,routeyou-gr128variantleuven,11581538
GR 128 Vlaanderenroute – Variant St-Truiden,routeyou-gr128varsttruiden.gpx,5182874
GR 128 Vlaanderenroute – Variant Tongeren,routeyou-gr128varianttongeren.gpx,11558514
GR 129 Dwars door België | Vlaanderen,routeyou-gr129.gpx,204077
GR 130 IJzer – Hoofdtraject,routeyou-gr-130-ijzer.gpx,2583905
GR 130 IJzer – Wintervariant Oostcappel,routeyou-gr130varoostcappel,4210125
GR 130 IJzer – Wintervariant Roesbrugge,routeyou-gr130varroesbrugge.gpx,9769052
GR 131 Brugse Ommeland – Ieperboog – Hoofdtraject,routeyou-gr131.gpx,2459560
GR 131 Brugse Ommeland – Ieperboog – Aanlooproute station Ieper,routeyou-gr131aanloopieper.gpx,1691376
GR 5 Noordzee - Middellandse Zee | Vlaanderen 1,routeyou-gr5noordzeemz.gpx,3121667
GR 5 Noordzee - Middellandse Zee | Vlaanderen 2,routeyou-gr5noordzeemz.gpx,13918842
GR 5 Noordzee - Middellandse Zee | Vlaanderen – Variant Genk,routeyou-gr5vargenk.gpx,5951316
GR 5 Noordzee - Middellandse Zee | Vlaanderen – Variant Hasselt,routeyou-gr5varhasselt.gpx,2907324
GR 5 Noordzee - Middellandse Zee | Vlaanderen – Variant Maastricht (Hoge Fronten),routeyou-gr5varhogefronten.gpx,not mapped yet
GR 5 Noordzee - Middellandse Zee | Vlaanderen – Variant Testelt-Zichem (Demervariant),routeyou-gr5vartesteltzichem.gpx,2923308
GR 512 Brabantse Heuvelroute – Hoofdtraject,routeyou-gr512.gpx,1860840
GR 512 Brabantse Heuvelroute – Variant Bivakzone Meerdaalwoud,routeyou-gr512varbivak.gpx,6315832
GR 561 Kempen – Maaspad – Hoofdtraject,routeyou-gr561.gpx,144503
GR 561 Kempen – Maaspad – Aanlooproute Bree,routeyou-gr561bree.gpx,not mapped yet
GR 561 Kempen – Maaspad – Aanlooproute station Balen,routeyou-gr561stationbalen.gpx,3351080
GR 561 Kempen – Maaspad – Aanlooproute station Geel,routeyou-gr561stationgeel.gpx,3231956
GR 561 Kempen – Maaspad – Aanlooproute station Hamont,routeyou-gr561stationhamont.gpx,not mapped yet
GR 561 Kempen – Maaspad – Aanlooproute station Neerpelt,routeyou-gr561stationneerpelt.gpx,9822961
GR 561 Kempen – Maaspad – Variant Hoge Fronten,routeyou-gr561fronten.gpx,not mapped yet
GR 564 De Loonse Route,routeyou-gr564loonse.gpx,2099432
GR 565 Sniederspad,routeyou-gr565.gpx,2361924
GR 565 Sniederspad – Aanlooproute station Antwerpen,routeyou-gr565stationa-pen.gpx,9823786
GR 565 Sniederspad – Variant Arendonk,routeyou-gr565vararendonk.gpx,12324169
GR 565 Sniederspad – Variant Watermolen,routeyou-gr565varwatermolen.gpx,not mapped yet
GR 5A Wandelronde van Vlaanderen 1,routeyou-gr5a-wandelrondevl.gpx,13658
GR 5A Wandelronde van Vlaanderen 2,routeyou-gr5a-wandelrondevl.gpx,2629186
